# auto-generated
# type           name                                     itype (1=data, -1=mc, 0=both)
Int_t           B_s0_BKGCAT                                 -1
Double_t        B_s0_DIRA_OWNPV                              0
Double_t        B_s0_ENDVERTEX_CHI2                          0
Double_t        B_s0_FDCHI2_OWNPV                            0
Double_t        B_s0_FD_OWNPV                                0
Bool_t          B_s0_Hlt1DiHadronDecision_TOS                0
Bool_t          B_s0_Hlt1SingleHadronDecision_TOS            0
Bool_t          B_s0_Hlt1TrackAllL0Decision_TOS              0
Bool_t          B_s0_Hlt2B2HHDecision_TOS                    0
Bool_t          B_s0_Hlt2Topo2BodyBBDTDecision_TOS           0
Bool_t          B_s0_Hlt2Topo2BodySimpleDecision_TOS         0
Bool_t          B_s0_Hlt2Topo3BodyBBDTDecision_TOS           0
Bool_t          B_s0_Hlt2Topo3BodySimpleDecision_TOS         0
Bool_t          B_s0_Hlt2Topo4BodyBBDTDecision_TOS           0
Bool_t          B_s0_Hlt2Topo4BodySimpleDecision_TOS         0
Bool_t          B_s0_Hlt2TopoMu4BodyBBDTDecision_TOS         0
Bool_t          B_s0_Hlt2TopoOSTF4BodyDecision_TOS           0
Double_t        B_s0_IPCHI2_OWNPV                            0
Double_t        B_s0_IP_OWNPV                                0
Bool_t          B_s0_L0HadronDecision_TOS                    0
Double_t        B_s0_M                                       0
Int_t           B_s0_MC_GD_GD_MOTHER_ID                     -1
Int_t           B_s0_MC_GD_GD_MOTHER_KEY                    -1
Int_t           B_s0_MC_GD_MOTHER_ID                        -1
Int_t           B_s0_MC_GD_MOTHER_KEY                       -1
Int_t           B_s0_MC_MOTHER_ID                           -1
Int_t           B_s0_MC_MOTHER_KEY                          -1
Double_t        B_s0_MM                                      0
Double_t        B_s0_MMERR                                   0
Double_t        B_s0_OWNPV_CHI2                              0
Double_t        B_s0_P                                       0
Double_t        B_s0_PE                                      0
Double_t        B_s0_PT                                      0
Double_t        B_s0_PX                                      0
Double_t        B_s0_PY                                      0
Double_t        B_s0_PZ                                      0
Double_t        B_s0_Phi                                     0
Int_t           B_s0_TAGCAT                                  0
Int_t           B_s0_TAGCAT_OS                               0
Int_t           B_s0_TAGDECISION                             0
Int_t           B_s0_TAGDECISION_OS                          0
Int_t           B_s0_TAGGER                                  0
Double_t        B_s0_TAGOMEGA                                0
Double_t        B_s0_TAGOMEGA_OS                             0
Double_t        B_s0_TAU                                     0
Double_t        B_s0_TAUCHI2                                 0
Double_t        B_s0_TAUERR                                  0
Double_t        Kminus_M                                     0
Double_t        Kminus_P                                     0
Double_t        Kminus_PE                                    0
Double_t        Kminus_PIDK                                  0
Double_t        Kminus_PIDe                                  0
Double_t        Kminus_PIDmu                                 0
Double_t        Kminus_PIDp                                  0
Double_t        Kminus_PT                                    0
Double_t        Kminus_PX                                    0
Double_t        Kminus_PY                                    0
Double_t        Kminus_PZ                                    0
Double_t        Kminus_ProbNNk                               0
Double_t        Kminus_ProbNNp                               0
Double_t        Kminus_ProbNNpi                              0
Double_t        Kminus_ProbNNkcorr                          -1
Double_t        Kminus_ProbNNpicorr                         -1
Double_t        Kminus_TRACK_CHI2NDOF                        0
Double_t        Kplus_M                                      0
Double_t        Kplus_P                                      0
Double_t        Kplus_PE                                     0
Double_t        Kplus_PIDK                                   0
Double_t        Kplus_PIDe                                   0
Double_t        Kplus_PIDmu                                  0
Double_t        Kplus_PIDp                                   0
Double_t        Kplus_PT                                     0
Double_t        Kplus_PX                                     0
Double_t        Kplus_PY                                     0
Double_t        Kplus_PZ                                     0
Double_t        Kplus_ProbNNk                                0
Double_t        Kplus_ProbNNp                                0
Double_t        Kplus_ProbNNpi                               0
Double_t        Kplus_ProbNNkcorr                           -1
Double_t        Kplus_ProbNNpicorr                          -1
Double_t        Kplus_TRACK_CHI2NDOF                         0
Double_t        Piminus_M                                    0
Double_t        Piminus_P                                    0
Double_t        Piminus_PE                                   0
Double_t        Piminus_PIDK                                 0
Double_t        Piminus_PIDe                                 0
Double_t        Piminus_PIDmu                                0
Double_t        Piminus_PIDp                                 0
Double_t        Piminus_PT                                   0
Double_t        Piminus_PX                                   0
Double_t        Piminus_PY                                   0
Double_t        Piminus_PZ                                   0
Double_t        Piminus_ProbNNk                              0
Double_t        Piminus_ProbNNp                              0
Double_t        Piminus_ProbNNpi                             0
Double_t        Piminus_ProbNNkcorr                         -1
Double_t        Piminus_ProbNNpicorr                        -1
Double_t        Piminus_TRACK_CHI2NDOF                       0
Double_t        Piplus_M                                     0
Double_t        Piplus_P                                     0
Double_t        Piplus_PE                                    0
Double_t        Piplus_PIDK                                  0
Double_t        Piplus_PIDe                                  0
Double_t        Piplus_PIDmu                                 0
Double_t        Piplus_PIDp                                  0
Double_t        Piplus_PT                                    0
Double_t        Piplus_PX                                    0
Double_t        Piplus_PY                                    0
Double_t        Piplus_PZ                                    0
Double_t        Piplus_ProbNNk                               0
Double_t        Piplus_ProbNNp                               0
Double_t        Piplus_ProbNNpi                              0
Double_t        Piplus_ProbNNkcorr                          -1
Double_t        Piplus_ProbNNpicorr                         -1
Double_t        Piplus_TRACK_CHI2NDOF                        0
Double_t        Kst_CosTheta                                 0
Double_t        Kst_DIRA_ORIVX                               0
Double_t        Kst_DIRA_OWNPV                               0
Double_t        Kst_ENDVERTEX_CHI2                           0
Double_t        Kst_FDCHI2_ORIVX                             0
Double_t        Kst_FDCHI2_OWNPV                             0
Double_t        Kst_FD_ORIVX                                 0
Double_t        Kst_FD_OWNPV                                 0
Double_t        Kst_IPCHI2_OWNPV                             0
Double_t        Kst_IP_OWNPV                                 0
Double_t        Kst_M                                        0
Double_t        Kst_MM                                       0
Double_t        Kst_MMERR                                    0
Double_t        Kst_P                                        0
Double_t        Kst_PE                                       0
Double_t        Kst_PT                                       0
Double_t        Kst_PX                                       0
Double_t        Kst_PY                                       0
Double_t        Kst_PZ                                       0
Double_t        Kstb_CosTheta                                 0
Double_t        Kstb_DIRA_ORIVX                               0
Double_t        Kstb_DIRA_OWNPV                               0
Double_t        Kstb_ENDVERTEX_CHI2                           0
Double_t        Kstb_FDCHI2_ORIVX                             0
Double_t        Kstb_FDCHI2_OWNPV                             0
Double_t        Kstb_FD_ORIVX                                 0
Double_t        Kstb_FD_OWNPV                                 0
Double_t        Kstb_IPCHI2_OWNPV                             0
Double_t        Kstb_IP_OWNPV                                 0
Double_t        Kstb_M                                        0
Double_t        Kstb_MM                                       0
Double_t        Kstb_MMERR                                    0
Double_t        Kstb_P                                        0
Double_t        Kstb_PE                                       0
Double_t        Kstb_PT                                       0
Double_t        Kstb_PX                                       0
Double_t        Kstb_PY                                       0
Double_t        Kstb_PZ                                       0
Float_t         PVCHI2                                       0
Float_t         PVNDOF                                       0
Float_t         PVNTRACKS                                    0
Float_t         PVX                                          0
Float_t         PVXERR                                       0
Float_t         PVY                                          0
Float_t         PVYERR                                       0
Float_t         PVZ                                          0
Float_t         PVZERR                                       0
Short_t         Polarity                                     0
ULong64_t       eventNumber                                  0
Int_t           nBackTracks                                  0
UInt_t          nCandidate                                   0
Int_t           nDownstreamTracks                            0
Int_t           nITClusters                                  0
Int_t           nLongTracks                                  0
Int_t           nMuonCoordsS0                                0
Int_t           nMuonCoordsS1                                0
Int_t           nMuonCoordsS2                                0
Int_t           nMuonCoordsS3                                0
Int_t           nMuonCoordsS4                                0
Int_t           nMuonTracks                                  0
Int_t           nOTClusters                                  0
